"rid", "binaryID"
831,10000001000000000000000000000000000000000010000000010011
109,100000010000000000000000000000000000000000000000000000000
587,100000010000000000000000000000000000000000000000000000001
402,100000010000000000000000000000000000000000000000000100000
581,100000010000000000000000000000000000000000000000000100001
716,100000010000000000000000000000000000000000100000000000000
125,100000010000000000000000000000000000000000100000000100000
393,100000010000000000000000000000000000000000100000000100001
244,100000010000000000000000000000000000000000100000000100100
826,100000010000000000000000000000000000000000100000000100101
546,100000010000000000000000000000000000000000100000000100110
830,100000010000000000000000000000000000000000100000000100111
110,1000000100000000000000000000000000000000000000000000000000
591,1000000100000000000000000000000000000000000000000000000001
403,1000000100000000000000000000000000000000000000000001000000
569,1000000100000000000000000000000000000000000000000001000001
126,1000000100000000000000000000000000000000001000000001000000
198,1000000100000000000000000000000000000000001000000001000001
394,1000000100000000000000000000000000000000001000000001000010
753,1000000100000000000000000000000000000000001000000001000011
245,1000000100000000000000000000000000000000001000000001001000
827,1000000100000000000000000000000000000000001000000001001001
33,1000000100000000000000000000000000000000001000000001001100
34,1000000100000000000000000000000000000000001000000001001110
111,10000001000000000000000000000000000000000000000000000000000
574,10000001000000000000000000000000000000000000000000000000001
127,10000001000000000000000000000000000000000010000000010000000
580,10000001000000000000000000000000000000000010000000010000001
199,10000001000000000000000000000000000000000010000000010000010
582,10000001000000000000000000000000000000000010000000010000011
395,10000001000000000000000000000000000000000010000000010000100
572,10000001000000000000000000000000000000000010000000010000101
246,10000001000000000000000000000000000000000010000000010010000
560,10000001000000000000000000000000000000000010000000010010001
834,10000001000000000000000000000000000000000010000000010011000
544,10000001000000000000000000000000000000000010000000010011100
573,100000010000000000000000000000000000000000000000000000000010
128,100000010000000000000000000000000000000000100000000100000000
779,100000010000000000000000000000000000000000100000000100000001
200,100000010000000000000000000000000000000000100000000100000100
602,100000010000000000000000000000000000000000100000000100000101
881,100000010000000000000000000000000000000000100000000100100000
129,1000000100000000000000000000000000000000001000000001000000000
780,1000000100000000000000000000000000000000001000000001000000001
585,1000000100000000000000000000000000000000001000000001000001000
889,1000000100000000000000000000000000000000001000000001000001001
601,1000000100000000000000000000000000000000001000000001000001010
882,1000000100000000000000000000000000000000001000000001001000000
130,10000001000000000000000000000000000000000010000000010000000000
598,10000001000000000000000000000000000000000010000000010000000001
599,10000001000000000000000000000000000000000010000000010000000010
609,10000001000000000000000000000000000000000010000000010000000011
201,10000001000000000000000000000000000000000010000000010000010010
754,10000001000000000000000000000000000000000010000000010000010011
883,10000001000000000000000000000000000000000010000000010010000000
884,10000001000000000000000000000000000000000010000000010010000001
131,100000010000000000000000000000000000000000100000000100000000000
782,100000010000000000000000000000000000000000100000000100000000001
202,100000010000000000000000000000000000000000100000000100000100100
579,100000010000000000000000000000000000000000100000000100000100101
885,100000010000000000000000000000000000000000100000000100100000000
863,100000010000000000000000000000000000000000100000000100100000010
132,1000000100000000000000000000000000000000001000000001000000000000
156,1000000100000000000000000000000000000000001000000001000000000001
203,1000000100000000000000000000000000000000001000000001000001001000
578,1000000100000000000000000000000000000000001000000001000001001001
247,1000000100000000000000000000000000000000001000000001001000000000
567,1000000100000000000000000000000000000000001000000001001000000100
828,1000000100000000000000000000000000000000001000000001001000000101
133,10000001000000000000000000000000000000000010000000010000000000000
807,10000001000000000000000000000000000000000010000000010000000000001
157,10000001000000000000000000000000000000000010000000010000000000010
783,10000001000000000000000000000000000000000010000000010000000000011
204,10000001000000000000000000000000000000000010000000010000010010000
597,10000001000000000000000000000000000000000010000000010000010010001
248,10000001000000000000000000000000000000000010000000010010000000000
339,10000001000000000000000000000000000000000010000000010010000000001
134,100000010000000000000000000000000000000000100000000100000000000000
809,100000010000000000000000000000000000000000100000000100000000000001
158,100000010000000000000000000000000000000000100000000100000000000100
347,100000010000000000000000000000000000000000100000000100000000000101
205,100000010000000000000000000000000000000000100000000100000100100000
592,100000010000000000000000000000000000000000100000000100000100100001
249,100000010000000000000000000000000000000000100000000100100000000000
837,100000010000000000000000000000000000000000100000000100100000000001
15,100000010000000000000000000000000000000000100000000100100000000010
135,1000000100000000000000000000000000000000001000000001000000000000000
625,1000000100000000000000000000000000000000001000000001000000000000001
159,1000000100000000000000000000000000000000001000000001000000000001000
785,1000000100000000000000000000000000000000001000000001000000000001001
