model,tailup,taildown,euclid,AIC,AICc,pseudo_r2,tailup_de,tailup_range,taildown_de,taildown_range,euclid_de,euclid_range,nugget,tailup_prop,taildown_prop,euclid_prop,nugget_prop,total_spatial_de,rank_aic,rank_pseudo_r2,rank_total_spatial_de,range_flag
epa_linear_jbessel,epa,linear,jbessel,-136.67690370355567,-134.92690370355567,0.6217488812588492,0.002619995094609814,66534.01358790444,3.331918814554982e-4,630230.8427254836,0.0016852716835133437,152547.01997354254,1.8732171977022414e-4,0.2053587187418178,0.026116025183271142,0.13209384795039386,0.014682526865668039,0.004638458659578655,13,11,23,FALSE
linear_exponential_jbessel,linear,exponential,jbessel,-136.5789746514957,-134.8289746514957,0.6357659680393997,0.002700143745013089,52789.03163487057,5.3506667520327e-4,2881189.7492010756,0.0017583117165357637,44.94600972586983,2.0308891178372164e-4,0.18925492670774566,0.037503190186217714,0.12324127397178009,0.014234641094856877,0.004993522136752123,14,5,17,TRUE
linear_mariah_jbessel,linear,mariah,jbessel,-136.41998626182848,-134.66998626182848,0.6255508753314236,0.0026268912487518474,53464.80976462093,1.1806161723968228e-4,1697138.7151289072,0.0017589817182435481,110556.08916442578,1.9190203917634067e-4,0.20947004923269302,0.009414311607851333,0.1402623680348213,0.015302395793210697,0.004503934584235078,15,10,26,TRUE
linear_linear_jbessel,linear,linear,jbessel,-136.31698196997806,-134.56698196997806,0.602645460449209,0.0027461682651230995,53385.09921681562,7.780255014026528e-4,479578.1173663424,0.001868348490905677,12181.47764632451,1.9846394878062683e-4,0.19517102758794483,0.05529451291345945,0.13278410485385947,0.01410489419552734,0.005392542257431429,16,21,14,FALSE
mariah_mariah_none,mariah,mariah,none,-136.05906813340764,-135.14997722431673,0.596619242666252,0.0025778297955280386,10228102.283730589,0.002191568460348997,926.2986570930182,NA,NA,2.083879832504722e-4,0.20889746671401108,0.177596325518246,0,0.0168869651014909,0.004769398255877036,17,27,19,TRUE
linear_mariah_cubic,linear,mariah,cubic,-135.6444683625376,-133.8944683625376,0.5903142552182368,0.002501825234675318,52599.93642883671,0.0015230543334552751,8.36040536962717e-6,4.235113037383788,22739846.222772814,4.237984305463e-4,2.4176134312725814e-4,1.4717881017765197e-4,0.40925585129712083,4.095333133746824e-5,4.239137916951918,18,28,5,TRUE
mariah_none_none,mariah,none,none,-135.55445208511387,-135.20151090864329,0.6068461754400782,0.0030598534003446385,1817561.0785755499,NA,NA,NA,NA,0.0017794144851775134,0.24858988908988128,0,0,0.14456393547004048,0.0030598534003446385,19,18,43,TRUE
epa_none_cubic,epa,none,cubic,-134.70116877573682,-133.7920778666459,0.4976977732179645,0.0028343564189169564,65164.28494604509,NA,NA,0.002970021338717511,265077.4869170129,0.001771440801666441,0.1879273545916762,0,0.19692239463634076,0.11745247755401861,0.005804377757634467,20,37,13,FALSE
epa_none_gaussian,epa,none,gaussian,-134.6015108928294,-133.6924199837385,0.5109901621375477,0.0027839487492184916,64994.35339903018,NA,NA,9.569656641472742e-4,54595.71531336774,0.0018152109500379366,0.24502296788327438,0,0.08422517377792123,0.15976169620125671,0.003740914413365766,21,36,31,FALSE
epa_linear_none,epa,linear,none,-134.54926978345415,-133.64017887436324,0.6312587270444776,0.002859004165926124,68101.62110768554,6.297804083726534e-6,103581.46716323393,NA,NA,0.0017738276706820652,0.22724797907814107,5.005810301760504e-4,0,0.1409927128472053,0.0028653019700098504,22,9,47,FALSE
epa_exponential_none,epa,exponential,none,-134.48999429374143,-133.58090338465053,0.6170892165168331,0.002916411863094849,68253.54630535266,9.820919612658709e-5,92240.29494877752,NA,NA,0.0018048827506962945,0.23170965217606368,0.007802745203084586,0,0.14339838610401862,0.003014621059221436,23,12,44,FALSE
linear_none_gaussian,linear,none,gaussian,-134.38994556057102,-133.48085465148012,0.5513836468513837,0.0027195655506574764,53301.051819197295,NA,NA,4.367466518624803e-4,44862.21732089864,0.0017768689793967087,0.2473133530868105,0,0.03971710808567744,0.1615858919761283,0.0031563122025199566,24,35,38,FALSE
linear_none_cubic,linear,none,cubic,-134.27756982996354,-133.36847892087263,0.5759353084837887,0.002610976155023459,52616.30977056238,NA,NA,2.891851726759555e-4,95261.69068525305,0.0018451612670017262,0.23332929967134075,0,0.025842968227034684,0.16489242361783588,0.0029001613276994145,25,33,45,FALSE
linear_exponential_none,linear,exponential,none,-134.24827940990573,-133.33918850081483,0.5895226004192684,0.0028242440731380287,53619.87476702236,3.426303890759218e-4,108729.51069517371,NA,NA,0.0017380263991352291,0.23635306720635918,0.028673776514727068,0,0.1454505558596454,0.0031668744622139504,26,29,37,FALSE
